,id,Season,Date,Home Team,Away Team,FT Home Goals,FT Away Goals,HT Home Goals,HT Away Goals,URL Analyse
0,30081991SchaMgl,1991-92,"Freitag, 30.08.1991",Schalke ,M'gladbach ,3,1,2,0,/schalke-gegen-mgladbach-1991-bundesliga-11864/spielinfo
1,30081991DüssWatt,1991-92,"Freitag, 30.08.1991",Düsseldorf ,Wattenscheid ,4,3,1,1,/duesseldorf-gegen-wattenscheid-1991-bundesliga-11865/spielinfo
2,30081991BremDuis,1991-92,"Freitag, 30.08.1991",Bremen ,Duisburg ,5,1,2,1,/bremen-gegen-duisburg-1991-bundesliga-11866/spielinfo
3,31081991BochDort,1991-92,"Samstag, 31.08.1991",Bochum ,Dortmund ,0,0,0,0,/bochum-gegen-dortmund-1991-bundesliga-11867/spielinfo
4,31081991DresStut,1991-92,"Samstag, 31.08.1991",Dresden ,Stuttgart ,1,0,1,0,/dresden-gegen-stuttgart-1991-bundesliga-11868/spielinfo
5,31081991RostLeve,1991-92,"Samstag, 31.08.1991",Rostock ,Leverkusen ,2,2,1,1,/rostock-gegen-leverkusen-1991-bundesliga-11869/spielinfo
6,31081991HSV Fran,1991-92,"Samstag, 31.08.1991",HSV ,Frankfurt ,2,1,0,0,/hsv-gegen-frankfurt-1991-bundesliga-11870/spielinfo
7,31081991KlaNürn,1991-92,"Samstag, 31.08.1991",K'lautern ,Nürnberg ,3,0,1,0,/klautern-gegen-nuernberg-1991-bundesliga-11872/spielinfo
8,31081991KölnBaye,1991-92,"Samstag, 31.08.1991",Köln ,Bayern ,1,1,0,1,/koeln-gegen-bayern-1991-bundesliga-11873/spielinfo
9,31081991Stg.Karl,1991-92,"Samstag, 31.08.1991",Stg. Kickers ,Karlsruhe ,1,1,1,1,/stg-kickers-gegen-karlsruhe-1991-bundesliga-11875/spielinfo
