 0,240819631860Brau,"Sa24.08.1963, 17:00",1860 München,Braunschweig,Stadion an der Grünwalder Straße,34000,Münch,"Fritz, Helmut",Ludwigshafen
1,24081963MünsHSV,"Sa24.08.1963, 17:00",Münster,HSV,Preußenstadion,38000,Münster,"Tschenscher, Kurt",Mannheim
2,24081963SaarKöln,"Sa24.08.1963, 17:00",Saarbrücken,Köln,Ludwigsparkstadion,30000,Saarbrücken,"Kreitlein, Rudolf",Stuttgart
3,24081963KarlMeid,"Sa24.08.1963, 17:00",Karlsruhe,Meidericher SV,Wildparkstadion,40000,Karlsruhe,"Zimmermann, Walter",Wolfsburg
4,24081963FranKla,"Sa24.08.1963, 17:00",Frankfurt,K'lautern,Waldstadion,30000,Frankfurt,"Malka, Johannes",Herten
5,24081963HertNürn,"Sa24.08.1963, 17:00",Hertha,Nürnberg,Olympiastadion,52000,Berlin,"Seekamp, Rolf",Bremen
6,24081963BremDort,"Sa24.08.1963, 17:00",Bremen,Dortmund,Weser-Stadion,30000,Bremen,"Ott, Alfred",Rheinbrohl
7,09111963BrauKöln,"Sa09.11.1963, 14:30",Braunschweig,Köln,Eintracht-Stadion,34000,Braunschweig,"Tschenscher, Kurt",Mannheim
8,09111963MeidHSV,"Sa09.11.1963, 14:30",Meidericher SV,HSV,Wedaustadion,36000,Duisburg,"Fischer, Heinz",Augsburg
0,09111963KlaStut,"Sa09.11.1963, 14:30",K'lautern,Stuttgart,Betzenberg,30000,Kaiserslautern,"Malka, Johannes",Herten
1,09111963KarlMüns,"Sa09.11.1963, 14:30",Karlsruhe,Münster,Wildparkstadion,20000,Karlsruhe,"Ott, Alfred",Rheinbrohl
2,091119631860Saar,"Sa09.11.1963, 17:00",1860 München,Saarbrücken,Stadion an der Grünwalder Straße,38000,Münch,"Schulenburg, Gerhard",Laatzen
3,09111963FranScha,"Sa09.11.1963, 17:00",Frankfurt,Schalke,Waldstadion,45000,Frankfurt,"Mathieu, Horst",Saarbrücken
4,09111963BremHert,"Sa09.11.1963, 17:00",Bremen,Hertha,Weser-Stadion,19000,Bremen,"Thier, Willi",Gelsenkirchen
5,09111963DortNürn,"Sa09.11.1963, 19:00",Dortmund,Nürnberg,Rote Erde,25000,Dortmun,"Sturm, Erwin",Hannover
6,16111963BrauMeid,"Sa16.11.1963, 14:30",Braunschweig,Meidericher SV,Eintracht-Stadion,28000,Braunschweig,"Kreitlein, Rudolf",Stuttgart
7,16111963KölnHSV,"Sa16.11.1963, 14:30",Köln,HSV,Müngersdorfer Stadion,64560,Köl,"Kandlbinder, Josef",Regensburg
8,16111963StutNürn,"Sa16.11.1963, 14:30",Stuttgart,Nürnberg,Neckarstadion,38000,Stuttgart,"Handwerker, Kurt",Ketsch
9,16111963SaarMüns,"Sa16.11.1963, 14:30",Saarbrücken,Münster,Ludwigsparkstadion,10000,Saarbrücken,"Riegg, Karl",Augsburg
0,161119631860Karl,"Sa16.11.1963, 17:00",1860 München,Karlsruhe,Stadion an der Grünwalder Straße,24000,Münch,"Deuschel, Edgar",Ludwigshafen
1,16111963BremFran,"Sa16.11.1963, 17:00",Bremen,Frankfurt,Weser-Stadion,22000,Bremen,"Schörnich, Fritz",Düsseldorf
2,16111963DortKla,"Sa16.11.1963, 17:30",Dortmund,K'lautern,Rote Erde,26000,Dortmun,"Regely, Ewald",Berlin
3,23111963KlaBrau,"Sa23.11.1963, 14:30",K'lautern,Braunschweig,Betzenberg,15000,Kaiserslautern,"Fischer, Heinz",Augsburg
4,23111963HSVStut,"Sa23.11.1963, 14:30",HSV,Stuttgart,Volksparkstadion,45000,Hamburg,"Treichel, Werner",Berlin
5,23111963MeidDort,"Sa23.11.1963, 14:30",Meidericher SV,Dortmund,Wedaustadion,40000,Duisburg,"Wieser, Alois",Köln
6,23111963NürnKöln,"Sa23.11.1963, 14:30",Nürnberg,Köln,Städtisches Stadion,38000,Nürnberg,"Lutz, Herbert",Bremen
7,23111963KarlBrem,"Sa23.11.1963, 14:30",Karlsruhe,Bremen,Wildparkstadion,25000,Karlsruhe,"Malka, Johannes",Herten
8,23111963HertSaar,"Sa23.11.1963, 14:30",Hertha,Saarbrücken,Olympiastadion,24941,Berlin,"Pooch, Gerhard",Lübeck
0,23111963MünsScha,"Sa23.11.1963, 14:30",Münster,Schalke,Preußenstadion,30000,Münster,"Schulenburg, Gerhard",Laatzen
1,23111963Fran1860,"Sa23.11.1963, 17:00",Frankfurt,1860 München,Waldstadion,25000,Frankfurt,"Tschenscher, Kurt",Mannheim
2,30111963KlaHSV,"Sa30.11.1963, 14:30",K'lautern,HSV,Betzenberg,37000,Kaiserslautern,"Tschenscher, Kurt",Mannheim
3,30111963NürnMeid,"Sa30.11.1963, 14:30",Nürnberg,Meidericher SV,Städtisches Stadion,38000,Nürnberg,"Fritz, Oswald",Ludwigshafen
4,30111963HertKarl,"Sa30.11.1963, 14:30",Hertha,Karlsruhe,Olympiastadion,24000,Berlin,"Schulenburg, Gerhard",Laatzen
5,30111963StutBrau,"Sa30.11.1963, 17:00",Stuttgart,Braunschweig,Neckarstadion,32000,Stuttgart,"Baumgärtel, Günther",Hagen
6,30111963FranMüns,"Sa30.11.1963, 17:00",Frankfurt,Münster,Waldstadion,16000,Frankfurt,"Deuschel, Edgar",Ludwigshafen
7,30111963BremSaar,"Sa30.11.1963, 17:00",Bremen,Saarbrücken,Weser-Stadion,10000,Bremen,"Niemeyer, Karl",Bad Godesberg
8,30111963DortKöln,"Sa30.11.1963, 20:00",Dortmund,Köln,Rote Erde,42000,Dortmun,"Ott, Alfred",Rheinbrohl
0,07121963MeidStut,"Sa07.12.1963, 14:15",Meidericher SV,Stuttgart,Wedaustadion,35000,Duisburg,"Schulenburg, Gerhard",Laatzen
1,07121963MünsBrem,"Sa07.12.1963, 14:15",Münster,Bremen,Preußenstadion,12000,Münster,"Kreitlein, Rudolf",Stuttgart
2,07121963KarlScha,"Sa07.12.1963, 15:00",Karlsruhe,Schalke,Wildparkstadion,40000,Karlsruhe,"Fritz, Oswald",Ludwigshafen
3,071219631860Hert,"Sa07.12.1963, 17:00",1860 München,Hertha,Stadion an der Grünwalder Straße,25000,Münch,"Niemeyer, Karl",Bad Godesberg
4,07121963SaarFran,"Sa07.12.1963, 18:30",Saarbrücken,Frankfurt,Ludwigsparkstadion,20000,Saarbrücken,"Schmidt, Berthold",Hermesdorf
5,07121963BrauNürn,"Sa07.12.1963, 19:00",Braunschweig,Nürnberg,Eintracht-Stadion,19000,Braunschweig,"Hoffmann, Josef",Krefeld
6,07121963KölnKla,"Sa07.12.1963, 19:00",Köln,K'lautern,Müngersdorfer Stadion,23000,Köl,"Treichel, Werner",Berlin
7,21121963HSVDort,"Sa21.12.1963, 14:00",HSV,Dortmund,Volksparkstadion,35000,Hamburg,"Fritz, Helmut",Ludwigshafen
8,14121963KlaMeid,"Sa14.12.1963, 14:15",K'lautern,Meidericher SV,Betzenberg,15000,Kaiserslautern,"Betz, Alfons",Regensburg
